tree;area;d1;d2;h;cover;collapsed_cropsize;neighboiurhood_cropsize;n_neigh;long;diam;cowe;nseed;totalseedw;oneseedw;fweight;sunken;fa_4cone_chl;fa_apo;fa_mus;fa_mesophleps;fa_elachista;fa_nanodiscus;fa_megastigmus;x_lat;y_long
C174;SABCOL;394;282;522;9.16;6386;4;3;10.95;10.17;537.76;5.48;125.04;23.11;412.73;27.26;0.4;0;0;0.03;0;0.09;0;37000617;-6506078
C176;SABCOL;584;494;480;31.4;7127;4;3;9.71;9.95;469.47;5.9;126.19;21.52;343.28;33.52;0.4;0;0.023255814;0.04;0;0.11;0.01;37000717;-6505955
C193;SABCOL;523;257;218;12.8;6268;4;3;9.67;9.55;444.87;5.64;109.75;19.55;335.12;39.9;0.4;0;0.011627907;0.01;0;0;0;3700041;-6505776
C197;SABCOL;256;251;291;3.98;2874;3;2;8.01;8.77;305.71;5.59;77.46;14;228.26;16.78;0;0;0;0;0;0;0;37000353;-6506003
C285;SABCOL;410;218;515;2;1563;3;3;9.84;9.19;397.2;5.82;91.22;15.71;305.99;23.18;0.266666667;0;0.046511628;0.08;0;0.08;0;37000014;-6505841
C316;SABCOL;649;276;524;20.2;10511;5;4;10.69;10.35;593.53;5.04;127.01;25.54;466.52;53.02;0.466666667;0;0;0.02;0.02;0.04;0.04;37000116;-650599
M029;SABMAR;610;470;365;5.25;3226;3;9;8.94;9.11;334.96;4.36;81.06;19.14;253.9;8.53;0;0.023255814;0;0.01;0.01;0.11;0.11;370120841;-6533186
M036;SABMAR;260;210;250;4.36;660;2;8;8.86;8.8;340.52;4.8;76.64;16.44;263.88;23.68;0;0.081395349;0;0;0.01;0.03;0.02;370121311;-653326
M058;SABMAR;578;495;370;18;2301;3;8;9.67;9.8;442.64;5.88;100.99;17.31;341.65;29.43;0;0.011627907;0;0.08;0;0.13;0.19;370120941;-6533302
M065;SABMAR;190;140;225;0.71;503;3;16;8.16;8.58;304.22;4.63;83.63;19.16;220.6;32.78;0;0.023255814;0;0.01;0;0.04;0.01;370119321;-653274
M087;SABMAR;360;240;385;7.95;802;3;11;8.23;9.07;301.56;5.06;70.51;14.07;231.05;23.38;0.166666667;0.034883721;0.034883721;0.04;0.03;0.06;0.03;370118961;-6532395
M136;SABMAR;409;327;341;7;3227;4;9;9.75;8.73;340.17;5.34;101.7;19.37;238.47;23.63;0;0.093023256;0;0.12;0;0.05;0.16;370118491;-6532362
M139;SABMAR;254;247;364;3.72;572;3;18;9.59;9.49;415.15;5.64;108.76;19.47;306.39;25.8;0;0;0;0;0;0;0;370118751;-653232
